script_id,imdb_id,title,year,gross
6420,tt1343727,Dredd,2012,14
2184,tt0780504,Drive,2011,38
2187,tt1502404,Drive Angry,2011,11
2188,tt0157503,Drop Dead Gorgeous,1999,18
8073,tt0097240,Drugstore Cowboy,1989,10
873,tt0023969,Duck Soup,1933,
8164,tt0067023,Duel,1971,
2193,tt0109686,Dumb & Dumber,1994,264
6617,tt2096672,Dumb and Dumber To,2014,91
875,tt0087182,Dune,1984,70
4146,tt0266489,Duplex,2003,13
879,tt1059786,Eagle Eye,2008,122
2201,tt0765443,Eastern Promises,2007,21
2202,tt1282140,Easy A,2010,64
8831,tt0109707,Ed Wood,1994,12
4150,tt1226273,Edge of Darkness,2010,47
2204,tt0131369,Edtv,1999,38
878,tt0099487,Edward Scissorhands,1990,116
2210,tt0271367,Eight Legged Freaks,2002,25
3986,tt0458522,El cantante,2006,10
7075,tt0061619,El Dorado,1966,47
1137,tt0104815,El mariachi,1992,4
2214,tt0126886,Election,1999,25
4159,tt0319343,Elf,2003,249
7124,tt0127536,Elizabeth,1998,55
885,tt0414055,Elizabeth: The Golden Age,2007,20
8835,tt0368709,Elizabethtown,2005,36
7763,tt1535108,Elysium,2013,99
5306,tt0116191,Emma,1996,43
4163,tt0338963,Encrypt,2003,
6373,tt0146675,End of Days,1999,114
6522,tt1855199,End of Watch,2012,44
2222,tt0120660,Enemy of the State,1998,207
2226,tt0278435,Enough,2002,58
5399,tt2390361,Enough Said,2013,18
8532,tt0070034,Enter the Dragon,1973,
2227,tt0137494,Entrapment,1999,150
2232,tt0238380,Equilibrium,2002,1
2234,tt0097289,Erik the Viking,1989,4
4169,tt0195685,Erin Brockovich,2000,203
6113,tt0079116,Escape from Alcatraz,1979,126
892,tt0116225,Escape from L.A.,1996,49
2239,tt0082340,Escape from New York,1981,78
2240,tt0338013,Eternal Sunshine of the Spotless Mind,2004,47
2243,tt0106834,Even Cowgirls Get the Blues,1993,3
2244,tt0119081,Event Horizon,1997,50
8627,tt1945084,Everly,2014,
7937,tt1531663,Everything Must Go,2010,2
6093,tt1828970,Evidence,2013,
4178,tt0892051,Evil Angel,2009,
4183,tt0083908,Evil Under the Sun,1982,13
5400,tt0470752,Ex Machina,2015,26
901,tt0116253,Executive Decision,1996,135
6973,tt0120907,eXistenZ,1999,4
6918,tt1528100,Exodus: Gods and Kings,2014,69
6148,tt0204313,Exorcist: The Beginning,2004,58
2254,tt1225822,Extract,2009,12
898,tt0120663,Eyes Wide Shut,1999,95
902,tt0119094,Face/Off,1997,212
8845,tt0119099,Fallen,1998,46
7089,tt0074512,Family Plot,1976,
2265,tt0120667,Fantastic Four,2005,210
2266,tt0432283,Fantastic Mr. Fox,2009,24
4198,tt0060397,Fantastic Voyage,1966,
4199,tt0297884,Far from Heaven,2002,23
